id,ea_id,phase,symbol,status,assigned_terminal,status_ts,transition_type
2,QM5_1003,P2,EURUSD.DWX,dispatched,T3,2026-05-15T10:29:46.086Z,queued
2,QM5_1003,P2,EURUSD.DWX,dispatched,T3,2026-05-15T10:29:58.975132+00:00,dispatched
3,QM5_1003,P2,GBPUSD.DWX,dispatched,T2,2026-05-15T10:29:46.095Z,queued
3,QM5_1003,P2,GBPUSD.DWX,dispatched,T2,2026-05-15T10:29:58.985405+00:00,dispatched
4,QM5_1003,P2,USDJPY.DWX,dispatched,T4,2026-05-15T10:29:46.095Z,queued
4,QM5_1003,P2,USDJPY.DWX,dispatched,T4,2026-05-15T10:29:58.985405+00:00,dispatched
5,QM5_1003,P2,AUDUSD.DWX,dispatched,T5,2026-05-15T10:29:46.095Z,queued
5,QM5_1003,P2,AUDUSD.DWX,dispatched,T5,2026-05-15T10:29:58.985405+00:00,dispatched
6,QM5_1003,P2,USDCAD.DWX,dispatched,T1,2026-05-15T10:29:46.095Z,queued
6,QM5_1003,P2,USDCAD.DWX,dispatched,T1,2026-05-15T10:29:58.985405+00:00,dispatched
7,QM5_1003,P2,USDCHF.DWX,dispatched,T1,2026-05-15T10:29:46.095Z,queued
7,QM5_1003,P2,USDCHF.DWX,dispatched,T1,2026-05-15T10:30:03.329218+00:00,dispatched
8,QM5_1003,P2,NZDUSD.DWX,dispatched,T3,2026-05-15T10:29:46.095Z,queued
8,QM5_1003,P2,NZDUSD.DWX,dispatched,T3,2026-05-15T10:30:03.330220+00:00,dispatched
9,QM5_1003,P2,EURJPY.DWX,dispatched,T2,2026-05-15T10:29:46.095Z,queued
9,QM5_1003,P2,EURJPY.DWX,dispatched,T2,2026-05-15T10:30:03.330220+00:00,dispatched
