sample_idx,sample_ts,terminal_id,pid,last_seen_utc,current_job_id,jobs_completed,last_error
1,2026-05-15T10:44:57Z,T1,27744,2026-05-15T10:44:38Z,,0,
1,2026-05-15T10:44:57Z,T2,24616,2026-05-15T10:44:40Z,,0,
1,2026-05-15T10:44:57Z,T3,20144,2026-05-15T10:44:47Z,,0,
1,2026-05-15T10:44:57Z,T4,24264,2026-05-15T10:44:38Z,,0,
1,2026-05-15T10:44:57Z,T5,23204,2026-05-15T10:44:38Z,,0,
2,2026-05-15T10:45:57Z,T1,15108,2026-05-15T10:45:33Z,,0,
2,2026-05-15T10:45:57Z,T2,3344,2026-05-15T10:45:44Z,,0,
2,2026-05-15T10:45:57Z,T3,26828,2026-05-15T10:45:50Z,,0,
2,2026-05-15T10:45:57Z,T4,27116,2026-05-15T10:45:42Z,,0,
2,2026-05-15T10:45:57Z,T5,25752,2026-05-15T10:45:55Z,,0,
3,2026-05-15T10:46:57Z,T1,28560,2026-05-15T10:46:33Z,,0,
3,2026-05-15T10:46:57Z,T2,6228,2026-05-15T10:46:34Z,,0,
3,2026-05-15T10:46:57Z,T3,27664,2026-05-15T10:46:35Z,,0,
3,2026-05-15T10:46:57Z,T4,18180,2026-05-15T10:46:35Z,,0,
3,2026-05-15T10:46:57Z,T5,18592,2026-05-15T10:46:35Z,,0,
