transition_utc,offset_before_minutes,offset_after_minutes,abbreviation_after,source_id
2018-03-25T01:00:00Z,0,60,BST,IANA_TZDATA_2026C
2018-10-28T01:00:00Z,60,0,GMT,IANA_TZDATA_2026C
2019-03-31T01:00:00Z,0,60,BST,IANA_TZDATA_2026C
2019-10-27T01:00:00Z,60,0,GMT,IANA_TZDATA_2026C
2020-03-29T01:00:00Z,0,60,BST,IANA_TZDATA_2026C
2020-10-25T01:00:00Z,60,0,GMT,IANA_TZDATA_2026C
2021-03-28T01:00:00Z,0,60,BST,IANA_TZDATA_2026C
2021-10-31T01:00:00Z,60,0,GMT,IANA_TZDATA_2026C
2022-03-27T01:00:00Z,0,60,BST,IANA_TZDATA_2026C
2022-10-30T01:00:00Z,60,0,GMT,IANA_TZDATA_2026C
2023-03-26T01:00:00Z,0,60,BST,IANA_TZDATA_2026C
2023-10-29T01:00:00Z,60,0,GMT,IANA_TZDATA_2026C
2024-03-31T01:00:00Z,0,60,BST,IANA_TZDATA_2026C
2024-10-27T01:00:00Z,60,0,GMT,IANA_TZDATA_2026C
2025-03-30T01:00:00Z,0,60,BST,IANA_TZDATA_2026C
2025-10-26T01:00:00Z,60,0,GMT,IANA_TZDATA_2026C
