date_london,session_type,regular_open_london,regular_close_london
2018-01-01,FULL_CLOSE,,
2018-03-30,FULL_CLOSE,,
2018-04-02,FULL_CLOSE,,
2018-05-07,FULL_CLOSE,,
2018-05-28,FULL_CLOSE,,
2018-08-27,FULL_CLOSE,,
2018-12-24,EARLY_CLOSE,08:00,12:30
2018-12-25,FULL_CLOSE,,
2018-12-26,FULL_CLOSE,,
2018-12-31,EARLY_CLOSE,08:00,12:30
2019-01-01,FULL_CLOSE,,
2019-04-19,FULL_CLOSE,,
2019-04-22,FULL_CLOSE,,
2019-05-06,FULL_CLOSE,,
2019-05-27,FULL_CLOSE,,
2019-08-26,FULL_CLOSE,,
2019-12-24,EARLY_CLOSE,08:00,12:30
2019-12-25,FULL_CLOSE,,
2019-12-26,FULL_CLOSE,,
2019-12-31,EARLY_CLOSE,08:00,12:30
2020-01-01,FULL_CLOSE,,
2020-04-10,FULL_CLOSE,,
2020-04-13,FULL_CLOSE,,
2020-05-08,FULL_CLOSE,,
2020-05-25,FULL_CLOSE,,
2020-08-31,FULL_CLOSE,,
2020-12-24,EARLY_CLOSE,08:00,12:30
2020-12-25,FULL_CLOSE,,
2020-12-28,FULL_CLOSE,,
2020-12-31,EARLY_CLOSE,08:00,12:30
2021-01-01,FULL_CLOSE,,
2021-04-02,FULL_CLOSE,,
2021-04-05,FULL_CLOSE,,
2021-05-03,FULL_CLOSE,,
2021-05-31,FULL_CLOSE,,
2021-08-30,FULL_CLOSE,,
2021-12-24,EARLY_CLOSE,08:00,12:30
2021-12-27,FULL_CLOSE,,
2021-12-28,FULL_CLOSE,,
2021-12-31,EARLY_CLOSE,08:00,12:30
2022-01-03,FULL_CLOSE,,
2022-04-15,FULL_CLOSE,,
2022-04-18,FULL_CLOSE,,
2022-05-02,FULL_CLOSE,,
2022-06-02,FULL_CLOSE,,
2022-06-03,FULL_CLOSE,,
2022-08-29,FULL_CLOSE,,
2022-09-19,FULL_CLOSE,,
2022-12-23,EARLY_CLOSE,08:00,12:30
2022-12-26,FULL_CLOSE,,
2022-12-27,FULL_CLOSE,,
2022-12-30,EARLY_CLOSE,08:00,12:30
2023-01-02,FULL_CLOSE,,
2023-04-07,FULL_CLOSE,,
2023-04-10,FULL_CLOSE,,
2023-05-01,FULL_CLOSE,,
2023-05-08,FULL_CLOSE,,
2023-05-29,FULL_CLOSE,,
2023-08-28,FULL_CLOSE,,
2023-12-22,EARLY_CLOSE,08:00,12:30
2023-12-25,FULL_CLOSE,,
2023-12-26,FULL_CLOSE,,
2023-12-29,EARLY_CLOSE,08:00,12:30
2024-01-01,FULL_CLOSE,,
2024-03-29,FULL_CLOSE,,
2024-04-01,FULL_CLOSE,,
2024-05-06,FULL_CLOSE,,
2024-05-27,FULL_CLOSE,,
2024-08-26,FULL_CLOSE,,
2024-12-24,EARLY_CLOSE,08:00,12:30
2024-12-25,FULL_CLOSE,,
2024-12-26,FULL_CLOSE,,
2024-12-31,EARLY_CLOSE,08:00,12:30
2025-01-01,FULL_CLOSE,,
2025-04-18,FULL_CLOSE,,
2025-04-21,FULL_CLOSE,,
2025-05-05,FULL_CLOSE,,
2025-05-26,FULL_CLOSE,,
2025-08-25,FULL_CLOSE,,
2025-12-24,EARLY_CLOSE,08:00,12:30
2025-12-25,FULL_CLOSE,,
2025-12-26,FULL_CLOSE,,
2025-12-31,EARLY_CLOSE,08:00,12:30
