ea_id,phase,symbol,terminal,verdict,invalidation_reason,evidence
1017,P2,AUDJPY.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,AUDCAD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,AUDCHF.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,AUDNZD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,AUDUSD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,CADJPY.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,CHFJPY.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,CADCHF.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,EURAUD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,EURCAD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,EURCHF.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,EURGBP.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,EURNZD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,EURJPY.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,EURUSD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,GBPJPY.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,GBPCAD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,GBPAUD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,GBPCHF.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,GBPNZD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,GBPUSD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,GDAXI.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,NDX.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,NZDCAD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,NZDCHF.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,NZDJPY.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,NZDUSD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,UK100.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,USDCAD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,USDCHF.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,USDJPY.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,WS30.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,XAGUSD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,XAUUSD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,XNGUSD.DWX,any,INVALID,no_summary_json:rc=1,
1017,P2,XTIUSD.DWX,any,INVALID,no_summary_json:rc=1,
